county,municipal,population,perc_black,perc_asian,perc_hispanic,perc_0_5,perc_65
Gloucester,Newfield,"1,553",2.19,0.32,6.57,4.89,14.1
Gloucester,National Park,"3,036",1.35,0.59,2.04,5.8,11.5
Gloucester,Monroe,"36,129",14.01,2.42,4.97,6.41,13.57
Gloucester,Logan,"6,042",12.5,2.55,3.97,6.27,6.75
Gloucester,West Deptford,"21,677",6.52,1.91,3.37,5.35,14.37
Gloucester,Westville,"4,288",4.9,1.49,6.02,5.62,11.64
Gloucester,Washington Twp,"48,559",5.82,3.78,3.65,4.96,12.45
Gloucester,Wenonah,"2,278",0.92,1.05,1.36,5.27,12.69
Gloucester,South Harrison,"3,162",5.06,1.2,3.1,5.85,10.44
Gloucester,Swedesboro,"2,584",15.02,1.35,17.07,7.66,10.02
