county,municipal,ld,cd,registered,registered_perc,democrats_perc,republicans_perc,turnout
Somerset,Raritan,23,7,"5,117",65.9,31.59,26.48,32.66
Ocean,Barnegat Light,9,2,629,107.16,22.66,50.24,49.76
Ocean,Ocean Gate,9,3,"1,343",66,26.26,34.2,34.7
Morris,Washington Twp,25,7,"14,788",81.47,20.39,40.19,34.48
Ocean,Ship Bottom,9,2,976,84.65,22.96,45,37.6
Sussex,Andover,24,5,406,72.11,28.33,38.18,37.19
Bergen,Wyckoff,40,5,"13,365",78.86,22.68,36.74,30.71
Monmouth,Eatontown,11,4,"8,690",71.48,31.12,22.83,29.34
Essex,Nutley,28,11,"21,695",76.3,33.81,21.88,23.71
Bergen,Park Ridge,39,5,"6,762",77.78,27.56,27.88,40.62
Bergen,Westwood,39,5,"8,099",73.11,33.93,27.93,42.98
Bergen,Ridgefield Park,36,9,"8,062",62.49,41.84,15.14,23.69
Essex,Newark,"28, 29","8, 10","155,198",55.03,55.58,3.59,9.71
Bergen,Wallington,36,9,"6,314",54.93,32.24,19.13,33.43
Bergen,Rockleigh,37,5,256,48.39,21.09,32.42,25
Monmouth,Farmingdale,30,4,"1,057",78.06,21.19,33.49,34.63
Bergen,Saddle River,39,5,"9,883",311.47,13.38,56.52,26.1
Monmouth,Englishtown,12,4,"1,444",75.52,25.69,26.32,19.25
Burlington,Evesham,8,3,"35,618",78.82,32.06,26.14,28.07
Monmouth,Highlands,13,6,"3,500",74.25,29.8,27.2,35.23
Essex,Livingston,27,11,"23,766",78.43,37.78,17.44,22.07
Essex,Glen Ridge,28,10,"6,000",79.22,50.03,15.47,26.47
Monmouth,Freehold Twp,11,4,"26,116",75.43,25.46,28.79,31.93
Burlington,Delran,7,3,"11,764",71.33,38.49,22.65,26.26
Burlington,Burlington,7,3,"6,520",66.14,50.71,15.74,37.04
Monmouth,Interlaken,11,6,797,101.01,28.48,45.67,39.65
Essex,Montclair,34,"10, 11","32,588",84.5,62.65,7.55,20.86
Atlantic,Northfield,2,2,"6,301",78.46,46.01,53.99,40.74
Burlington,Beverly,7,3,"1,562",63.01,47.57,17.35,30.41
Monmouth,Holmdel,13,4,"13,382",79.98,20.89,37.48,33.39
Essex,Maplewood,27,10,"20,046",78.98,65.24,6.15,25.42
Bergen,Oradell,38,5,"6,393",78.63,28.31,28.26,37.79
Essex,Caldwell,27,11,"5,885",74.11,35.76,24.11,28.72
Monmouth,Lake Como,30,4,"1,185",70.45,32.57,22.19,29.7
Essex,Bloomfield,28,"10, 11","36,022",72.08,50.33,12.51,15.44
Monmouth,Keansburg,13,6,"5,522",57.33,31.04,20.07,15.79
Essex,Fairfield,26,11,"6,161",82.43,19.01,44.43,19.04
Burlington,Mansfield,8,3,"7,166",83.98,31.37,32.74,37.82
Burlington,Hainesport,8,3,"4,742",79.35,29.61,34.82,40.49
Essex,East Orange,34,10,"42,916",66.67,65.06,1.93,15.35
Monmouth,Little Silver,13,4,"5,104",88.27,25.06,43.22,27.14
Sussex,Franklin,24,5,"3,344",70.83,19.05,43.96,26.56
Sussex,Hampton Twp,24,5,"3,882",80.17,20.61,46.83,34.18
Sussex,Byram,24,11,"6,251",78.81,21.85,37.34,31.45
Sussex,Sparta,24,11,"15,486",83.37,22.08,38.01,28.63
Burlington,Moorestown,7,3,"16,558",80.71,32.99,31.97,31.11
Sussex,Wantage,24,5,"8,088",74.19,16.28,47.18,29.85
Burlington,Pemberton Twp,8,3,"15,952",59.13,34.62,21.82,25.66
Bergen,Teterboro,36,9,39,57.35,38.46,25.64,10.26
Sussex,Hopatcong,24,11,"10,400",73.31,23.63,36.75,31.11
Burlington,Chesterfield,12,3,"4,027",53.18,31.49,29.33,38.61
Sussex,Newton,24,5,"5,130",63.97,25.79,34.62,26.35
Warren,Phillipsburg,23,7,"9,079",63.88,32.47,21.69,33.09
Warren,Hardwick,24,5,"1,295",79.99,20.34,43.64,38.61
Ocean,Lakehurst,10,4,"1,579",58.31,20.96,27.78,21.03
Warren,Harmony,23,7,"2,014",81.67,19.99,44.01,26.96
Ocean,Lacey,9,3,"21,065",71.91,17.77,34.88,30.21
Warren,Frelinghuysen,24,5,"1,758",80.9,16.9,47.45,36.29
Union,Clark,22,7,"11,837",74.4,28.04,28.01,21.01
Ocean,Jackson,12,4,"38,862",67.32,22.92,29.85,23.13
Warren,Greenwich,23,7,"4,340",79.75,22.17,39.48,18.76
Union,Fanwood,22,12,"5,929",77.03,41.32,21.2,32.13
Ocean,Island Heights,10,3,"1,387",82.61,25.5,33.02,37.35
Warren,Alpha,23,7,"1,670",74.06,34.57,27.23,36.89
Warren,Blairstown,24,5,"4,651",81.73,19.19,43,30.51
Ocean,Bay Head,10,4,817,83.62,17.52,52.31,40.64
Gloucester,Harrison Twp,5,2,"9,946",75.83,26.99,34.98,22.18
Mercer,Hopewell Twp,15,12,"14,872",83.9,37.42,23.09,33.2
Gloucester,Greenwich,3,1,"3,744",78.08,50.25,18.68,43.8
Ocean,Beach Haven,9,2,966,80.17,20.95,39.11,42.13
Mercer,Hopewell,15,12,"1,656",86.88,53.29,15.47,37.74
Mercer,Hamilton,14,4,"65,692",75.45,34.99,21.34,36.16
Gloucester,Franklin Twp,3,2,"12,119",74.35,29.09,26.79,29.65
Mercer,East Windsor,14,12,"18,886",69.21,41.57,15.05,24.82
Gloucester,East Greenwich,3,"1, 2","8,213",76.62,32.44,24.75,29.21
Ocean,Eagleswood,9,2,"1,267",79.04,17.74,41.56,28.73
Ocean,Harvey Cedars,9,2,415,120.29,22.73,39.47,58.55
Ocean,Beachwood,9,3,"7,388",65.31,21.91,28.95,30.5
Ocean,Brick,10,3,"53,733",70.61,22.46,30.89,29.8
Gloucester,Mantua,5,2,"11,782",79.39,35.51,22.56,26.46
Essex,Orange,34,10,"17,536",-,62.32,2.54,14.62
Middlesex,Dunellen,22,12,"4,523",62.8,-,-,26.38
Middlesex,Cranbury,14,12,"3,231",79.44,-,-,40.82
Mercer,West Windsor,15,12,"20,955",75.12,39.6,14.51,25.92
Gloucester,Deptford,5,1,"22,395",73.79,43.6,16.92,23.88
Essex,West Orange,27,"10, 11","36,197",76.1,52.88,10.5,18.86
Mercer,Robbinsville,14,4,"11,122",76.48,30.02,23.16,31.03
Essex,West Caldwell,26,11,"9,028",83.31,30.52,28.86,26.89
Essex,South Orange,27,10,"13,564",81.27,64.12,7.01,25.94
Mercer,Pennington,15,12,"2,381",92.43,48.13,18.91,30.24
Warren,Pohatcong,23,7,"2,417",76.13,24.45,31.74,28.96
Warren,Washington,23,5,"4,781",74.12,24.21,29.78,20.27
Warren,White,24,5,"3,689",79.23,17.84,49.24,32.15
Morris,Chatham,21,11,"6,807",78.83,30.04,30.35,41.15
Gloucester,Woodbury,5,1,"6,598",67.37,44.53,17.52,28.19
Morris,Chatham Twp,27,11,"8,460",83.62,26.32,39.85,36.39
Hudson,West New York,32,8,"23,988",45.5,56.4,11.25,13.62
Morris,Chester Twp,25,7,"6,420",83.7,20.7,44.41,35.81
Morris,Denville,25,11,"13,495",82.06,25.11,40.33,41.87
Hunterdon,Milford,23,7,912,77.22,30.59,34.43,37.28
Morris,East Hanover,27,11,"9,036",82.74,24.31,38.19,31.73
Ocean,Point Pleasant,30,"3, 4","14,245",75.88,20.56,33.88,26.16
Cumberland,Downe,1,2,"1,018",70.35,20.63,45.48,40.37
Morris,Hanover,27,11,"11,283",79.17,22.25,43.1,25.81
Ocean,Plumsted,12,4,"5,716",66.69,17.21,34.47,35.51
Essex,Essex Fells,27,11,"1,942",93.01,23.19,46.68,22.71
Morris,Harding,27,11,"3,629",96.52,18.96,48.31,34.11
Gloucester,Elk,3,2,"3,275",78.48,33.9,27.03,33.04
Ocean,Point Pleasant Beach,10,4,"3,698",81.26,19.68,47.83,39.97
Gloucester,Pitman,4,2,"6,670",76.31,33.46,24.4,45.8
Camden,Audubon Park,5,1,803,80.14,53.56,13.51,27.65
Camden,Lawnside,5,1,"2,402",83.34,69.34,3.18,34.85
Cape May,Cape May,1,2,"1,970",57.57,29.23,38.75,44.57
Hudson,Weehawken,33,8,"9,663",66.01,51.17,12.95,17.59
Middlesex,Jamesburg,14,12,"3,347",56.87,-,-,23.07
Hudson,Union City,33,8,"32,122",47.25,68.65,7.14,29.24
Middlesex,Helmetta,18,12,"1,707",79.21,-,-,26.48
Ocean,Lavallette,10,3,"1,646",88.21,15.64,50.79,44.11
Hunterdon,Bloomsbury,23,7,641,76.4,28.08,36.51,28.39
Ocean,Little Egg Harbor,9,2,"15,226",70.13,20.88,35.08,29.05
Middlesex,Milltown,17,12,"5,470",78.51,-,-,39.51
Hunterdon,Alexandria,23,7,"3,921",82.48,19.13,45.22,31.96
Ocean,Long Beach,9,2,"2,900",94.43,22.52,40.74,42.93
Middlesex,Metuchen,18,6,"11,146",76.64,-,-,32.43
Ocean,Manchester,10,4,"35,447",81.07,26.43,34.65,31.23
